tinh,nuoc_sach,dien,nsach_hethong,nha_vs_dat_chuan,biet_chu,nha_kien_co,nha_ban_kien_co,nha_thieu_kien_co,nha_don_so
quang tri,90.34,99.8,93.478,93.576,85.0,65.05333333333333,31.509999999999994,2.9133333333333336,0.5299999999999999
thua thien hue,99.44,99.875,93.136,98.79599999999999,96.1,55.48333333333333,43.78333333333334,0.32333333333333336,0.4099999999999999
da nang,99.86,100.0,98.46000000000001,99.166,99.97999999999999,50.60333333333333,49.330000000000005,0.0,0.06666666666666667
quang nam,92.96000000000001,99.7,95.764,85.31,94.88,56.68666666666667,40.17,2.6933333333333334,0.43333333333333335
quang ngai,95.35999999999999,99.60000000000001,93.28599999999999,92.322,88.75999999999999,80.19,17.916666666666668,1.4633333333333336,0.4266666666666667
binh dinh,97.78,99.875,96.684,89.59200000000001,94.7,58.973333333333336,40.906666666666666,0.03333333333333333,0.08666666666666667
phu yen,98.42,99.65,94.56800000000001,89.26,86.78,78.73666666666666,20.093333333333334,0.45,0.7200000000000001
khanh hoa,96.64000000000001,99.875,95.894,92.49199999999999,95.6,50.35333333333333,49.01,0.33,0.29
ninh thuan,97.92,99.8,87.21599999999998,97.88199999999999,85.78,11.023333333333333,86.57000000000001,1.01,1.38
binh thuan,98.94,99.05,94.28800000000001,91.058,97.35999999999999,10.593333333333334,87.67333333333333,1.1133333333333333,0.62
kon tum,90.46000000000001,99.4,91.00399999999999,68.304,77.96000000000001,22.033333333333335,70.93666666666667,4.623333333333333,2.4066666666666667
gia lai,93.10000000000001,99.375,86.208,68.762,76.82000000000001,12.4,82.57666666666667,4.489999999999999,0.53
dak lak,97.2,99.325,91.502,89.95599999999999,90.22,12.363333333333335,84.07,2.97,0.5766666666666667
dak nong,97.52000000000001,98.075,93.96400000000001,90.782,91.58,15.766666666666666,74.86,7.776666666666666,1.5999999999999999
lam dong,98.66,99.69999999999999,94.702,81.53600000000002,91.82,11.35,85.76333333333334,2.083333333333333,0.7999999999999999
binh phuoc,97.38,95.925,93.478,73.678,93.9,7.8133333333333335,85.54333333333334,4.913333333333333,1.7299999999999998
tay ninh,100.0,99.92500000000001,94.422,71.01599999999999,97.85999999999999,5.703333333333333,89.12666666666667,3.103333333333333,2.0666666666666664
binh duong,100.0,99.975,97.31800000000001,96.784,99.84,9.63,90.22333333333334,0.14666666666666667,0.0
dong nai,99.7,99.925,97.53,95.242,99.51999999999998,8.023333333333333,91.04666666666667,0.41,0.5233333333333333
ba ria vung tau,100.0,99.8,97.66400000000002,99.112,99.6,16.926666666666666,82.66666666666667,0.4066666666666667,0.0
tp.ho chi minh,99.94,99.525,98.75999999999999,99.36800000000001,97.64,34.653333333333336,64.81,0.3333333333333333,0.20000000000000004
long an,99.5,99.5,96.372,98.474,93.08,17.209999999999997,76.51333333333334,4.4366666666666665,1.8399999999999999
tien giang,99.9,99.875,95.56,99.716,91.02000000000001,11.603333333333333,84.26333333333334,2.92,1.1933333333333334
ben tre,97.10000000000001,99.725,94.78,93.79400000000001,84.86,12.456666666666669,79.50333333333333,5.506666666666667,2.54
tra vinh,99.78,99.5,89.048,93.616,75.82000000000001,8.83,70.77,13.113333333333335,7.273333333333333
vinh long,93.9,99.4,94.518,94.14,81.84,8.073333333333332,86.21333333333332,4.38,1.3333333333333333
dong thap,87.2,99.925,93.198,96.744,93.0,9.426666666666666,77.86666666666666,11.64,1.0633333333333332
an giang,95.42,98.975,91.36600000000001,96.37800000000001,92.8,9.57,70.75333333333333,19.163333333333334,0.51
kien giang,97.56000000000002,99.675,92.986,91.45,81.14,2.1033333333333335,77.24666666666666,13.436666666666667,7.2
can tho,99.4,99.85,95.69800000000001,92.304,87.62,6.466666666666666,85.54,6.836666666666667,1.1566666666666667
hau giang,95.88000000000001,99.675,94.688,92.944,70.64,5.3566666666666665,82.86666666666666,7.006666666666668,4.7700000000000005
soc trang,97.5,99.57499999999999,90.176,88.196,75.92,5.16,81.32000000000001,9.166666666666666,4.336666666666667
bac lieu,99.96000000000001,99.95,94.28999999999999,95.43199999999999,85.58,10.946666666666667,78.28666666666666,6.836666666666666,3.9166666666666665
ca mau,99.01999999999998,99.72500000000001,96.502,95.44200000000001,85.75999999999999,5.82,71.47,15.063333333333334,7.633333333333333
